age;gender;edu_level;years_of_experience;industry;learning_preferences;weekly_study_hours;motivation;fav_animals;sweet_or_salty;fav_place;hobbies;age_cleaned;gender_cleaned;years_of_experience_cleaned;hobbies_cleaned;hobby_art;hobby_books;hobby_movies;hobby_other;hobby_sport;hobby_video_games;sweet_or_salty_cleaned;fav_animals_cleaned;learning_pref_books;learning_pref_online_courses;learning_pref_offline_courses;learning_pref_chatgpt;learning_pref_teamwork;learning_pref_personal_projects;Uczenie innych osób.;learning_pref_workshops;motivation_cleaned;Rozwój kariery;Pasja i zainteresowania;Praca i elastyczność;Tworzenie i innowacje;Rozwój umiejętności;Wynagrodzenie
25-34;Mężczyzna;Szkoła średnia / Technikum;3-5 lat;Bezrobotny;Książki;10-15 godzin;Wyzwania intelektualne, Pasja do analizy danych, Wynagrodzenie;Ptaki;Słone;Góry;Sport, Książki, Filmy / Seriale;25-34;0.0;3-5;hobby_sport, hobby_books, hobby_movies;0;1;1;0;1;0;salty;Inne;1;0;0;0;0;0;0;0;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
35-44;Mężczyzna;Licencjat;16 i więcej;Finanse;Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty;5-10 godzin;Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne;;Słodkie;Morze;Książki;35-44;0.0;>=16;hobby_books;0;1;0;0;0;0;sweet;Brak ulubionych;1;1;0;0;1;1;0;1;Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
45-54;Mężczyzna;Szkoła zawodowa;16 i więcej;Zdrowie;Kursy online, Książki, Warsztaty, Samodzielne projekty;5-10 godzin;Rozwój kariery, Wyzwania intelektualne, Pasja do analizy danych;Psy;;Góry;Sztuka, Filmy / Seriale;45-54;0.0;>=16;hobby_art, hobby_movies;1;0;1;0;0;0;;Psy;1;1;0;0;0;1;0;1;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
25-34;Mężczyzna;Magister;6-10 lat;IT;Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty, Praca z ChatGPT;Mniej niż 5 godzin;Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne;Psy;Słodkie;Góry;Gry komputerowe, Filmy / Seriale;25-34;0.0;6-10;hobby_video_games, hobby_movies;0;0;1;0;0;1;sweet;Psy;1;1;0;1;1;1;0;1;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
45-54;Mężczyzna;Magister;16 i więcej;IT;Kursy online, Książki;Mniej niż 5 godzin;Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne;Koty;Słodkie;Las;Sport, Sztuka, Filmy / Seriale;45-54;0.0;>=16;hobby_sport, hobby_art, hobby_movies;1;0;1;0;1;0;sweet;Koty;1;1;0;0;0;0;0;0;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
35-44;;Magister;11-15 lat;;Kursy online, Książki;5-10 godzin;Rozwój kariery;Psy;Słone;Góry;Gry komputerowe, Filmy / Seriale;35-44;;11-15;hobby_video_games, hobby_movies;0;0;1;0;0;1;salty;Psy;1;1;0;0;0;0;0;0;Rozwój kariery, Pasja i zainteresowania, Praca i elastyczność, Tworzenie i innowacje, Rozwój umiejętności, Wynagrodzenie;1;1;1;1;1;1
35-44;Mężczyzna;Magister;16 i więcej;Finanse;Kursy online;5-10 godzin;Rozwój kariery, Pasja do analizy danych, Wynagrodzenie;nie lubię;Słodkie;Las;jazda rowerem, audiobooki;35-44;0.0;>=16;hobby_other, hobby_other;0;0;0;1;0;0;sweet;Brak ulubionych;0;1;0;0;0;0;0;0;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
35-44;Kobieta;Szkoła średnia / Technikum;11-15 lat;Zdrowie;Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty;15-20 godzin;Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne;Psy;Słone;Morze;Książki;35-44;1.0;11-15;hobby_books;0;1;0;0;0;0;salty;Psy;1;1;0;0;1;1;0;1;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
45-54;Kobieta;Magister;16 i więcej;IT;Kursy online, Warsztaty, Praca zespołowa, Samodzielne projekty;5-10 godzin;Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne;Psy;Słodkie;Jezioro;Książki, Gry komputerowe, Filmy / Seriale;45-54;1.0;>=16;hobby_books, hobby_video_games, hobby_movies;0;1;1;0;0;1;sweet;Psy;0;1;0;0;1;1;0;1;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
45-54;Mężczyzna;Szkoła średnia / Technikum;16 i więcej;izynier GPS;Kursy online, Książki, Warsztaty, Praca zespołowa;5-10 godzin;Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Pasja do analizy danych, Wynagrodzenie;Psy;Słodkie;Morze;Sport;45-54;0.0;>=16;hobby_sport;0;0;0;0;1;0;sweet;Psy;1;1;0;0;1;0;0;1;Rozwój kariery, Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
35-44;Mężczyzna;Magister;16 i więcej;Administracja publiczna;Kursy online, Książki, Warsztaty;5-10 godzin;Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne;ptaki;Słone;Góry;Książki, Filmy / Seriale;35-44;0.0;>=16;hobby_books, hobby_movies;0;1;1;0;0;0;salty;Inne;1;1;0;0;0;0;0;1;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
45-54;Kobieta;Magister;0-2 lata;Opieka;Kursy online, Warsztaty, Samodzielne projekty;Więcej niż 20 godzin;Rozwój kariery;Psy;Słodkie;Morze;Filmy / Seriale, Internet ;45-54;1.0;0-2;hobby_movies, hobby_other;0;0;1;1;0;0;sweet;Psy;0;1;0;0;0;1;0;1;Rozwój kariery, Pasja i zainteresowania, Praca i elastyczność, Tworzenie i innowacje, Rozwój umiejętności, Wynagrodzenie;1;1;1;1;1;1
;;;;;;;;;;;;unknown;;;[];0;0;0;0;0;0;;Brak ulubionych;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0
65 i więcej;Kobieta;Magister;16 i więcej;emeryt;Kursy online, Książki, Samodzielne projekty;10-15 godzin;Wyzwania intelektualne, Pasja do analizy danych;;Słodkie;Góry;Książki, Sztuka, spacer, gry w telefonie;>=65;1.0;>=16;hobby_books, hobby_art, hobby_other, hobby_other;1;1;0;1;0;0;sweet;Brak ulubionych;1;1;0;0;0;1;0;0;Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
45-54;Kobieta;Magister;16 i więcej;IT;Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty;Mniej niż 5 godzin;Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne;;Słone;Góry;Książki, Filmy / Seriale, podróże;45-54;1.0;>=16;hobby_books, hobby_movies, hobby_other;0;1;1;1;0;0;salty;Brak ulubionych;1;1;0;0;1;1;0;1;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
45-54;Kobieta;Magister;16 i więcej;Hotelarstwo;Kursy online, Książki, Praca zespołowa, Kursy stacjonarne;10-15 godzin;Rozwój kariery, Wyzwania intelektualne, możliwość pracy zdalnej;Konie, żółwie;Słone;Las;Sport, Książki, Filmy / Seriale;45-54;1.0;>=16;hobby_sport, hobby_books, hobby_movies;0;1;1;0;1;0;salty;Inne;1;1;1;0;1;0;0;0;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
25-34;Kobieta;Licencjat;6-10 lat;Budowa maszyn ;Kursy online, Książki, Warsztaty, Samodzielne projekty;5-10 godzin;Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne, Pasja do analizy danych, Wynagrodzenie;Psy;Słodkie;Dom;Książki, Filmy / Seriale;25-34;1.0;6-10;hobby_books, hobby_movies;0;1;1;0;0;0;sweet;Psy;1;1;0;0;0;1;0;1;Rozwój kariery, Rozwój kariery, Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
18-24;Mężczyzna;Magister;6-10 lat;energetyka;Kursy online;5-10 godzin;Rozwój kariery, Wyzwania intelektualne, Wynagrodzenie;;Słodkie;Góry;Sport, Filmy / Seriale, turystyka piesza;18-24;0.0;6-10;hobby_sport, hobby_movies, hobby_other;0;0;1;1;1;0;sweet;Brak ulubionych;0;1;0;0;0;0;0;0;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
35-44;Mężczyzna;Magister;11-15 lat;Logistyka;Kursy online, Książki, Samodzielne projekty;Mniej niż 5 godzin;Rozwój kariery, Wynagrodzenie;Psy;Słone;Las;Książki, Filmy / Seriale;35-44;0.0;11-15;hobby_books, hobby_movies;0;1;1;0;0;0;salty;Psy;1;1;0;0;0;1;0;0;Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
25-34;Mężczyzna;Szkoła średnia / Technikum;11-15 lat;Branża Produkcyjno Usługowa ;Kursy online;5-10 godzin;Rozwiązywanie rzeczywistych problemów;Koty;Słone;Las;Pracuje w warsztacie samochodowym przy własnym projekcie ;25-34;0.0;11-15;hobby_other;0;0;0;1;0;0;salty;Koty;0;1;0;0;0;0;0;0;Rozwój kariery, Pasja i zainteresowania, Praca i elastyczność, Tworzenie i innowacje, Rozwój umiejętności, Wynagrodzenie;1;1;1;1;1;1
55-64;Mężczyzna;Doktorat;16 i więcej;IT;Kursy online, Książki, Samodzielne projekty;5-10 godzin;Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne;Psy;Słodkie;Góry;Sport, Książki;55-64;0.0;>=16;hobby_sport, hobby_books;0;1;0;0;1;0;sweet;Psy;1;1;0;0;0;1;0;0;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
35-44;Mężczyzna;Magister;16 i więcej;Marketing;Kursy online, Samodzielne projekty;5-10 godzin;Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne;Psy;Słone;Góry;Książki;35-44;0.0;>=16;hobby_books;0;1;0;0;0;0;salty;Psy;0;1;0;0;0;1;0;0;Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
35-44;Mężczyzna;Magister;6-10 lat;Motoryzacja;Kursy online, Książki, Samodzielne projekty;5-10 godzin;Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wynagrodzenie;Psy;Słone;Las;Sport, Książki, Gry komputerowe, Filmy / Seriale;35-44;0.0;6-10;hobby_sport, hobby_books, hobby_video_games, hobby_movies;0;1;1;0;1;1;salty;Psy;1;1;0;0;0;1;0;0;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
35-44;Mężczyzna;Magister;11-15 lat;Finanse;Kursy online, Warsztaty;10-15 godzin;Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wynagrodzenie;Nie mam ulubionych zwierząt;Słodkie;Morze;Sport, Z rodziną;35-44;0.0;11-15;hobby_sport, hobby_other;0;0;0;1;1;0;sweet;Inne;0;1;0;0;0;0;0;1;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
45-54;Mężczyzna;Magister;16 i więcej;Edukacja;Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty;10-15 godzin;Rozwiązywanie rzeczywistych problemów, Pasja do analizy danych, Wynagrodzenie;Psy;Słone;Góry połączone z jeziorem;Sport, Książki, Filmy / Seriale;45-54;0.0;>=16;hobby_sport, hobby_books, hobby_movies;0;1;1;0;1;0;salty;Psy;1;1;0;0;1;1;0;1;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
35-44;Mężczyzna;Magister;11-15 lat;Media, fotografia, wideo dron, ...;Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty;15-20 godzin;;Pingwiny;Słone;Morze;Książki, Sztuka, Psychologia społeczna;35-44;0.0;11-15;hobby_books, hobby_art, hobby_other;1;1;0;1;0;0;salty;Inne;1;1;0;0;1;1;0;1;[];0;0;0;0;0;0
35-44;Kobieta;Szkoła zawodowa;16 i więcej;usługi;Kursy online, Warsztaty, Praca zespołowa;5-10 godzin;zdobycie nowych umiejętności;;;;spotkania z ludźmi;35-44;1.0;>=16;hobby_other;0;0;0;1;0;0;;Brak ulubionych;0;1;0;0;1;0;0;1;Rozwój kariery, Pasja i zainteresowania, Praca i elastyczność, Tworzenie i innowacje, Rozwój umiejętności, Wynagrodzenie;1;1;1;1;1;1
35-44;Kobieta;Magister;16 i więcej;Bez pracy, ostatnio HR;Kursy online, Warsztaty, Praca zespołowa, Samodzielne projekty;5-10 godzin;Rozwój kariery, Wyzwania intelektualne, rozwój osobisty;"lubię i koty i psy ;)";Słodkie;Góry;Książki, Filmy / Seriale, puzzle;35-44;1.0;>=16;hobby_books, hobby_movies, hobby_other;0;1;1;1;0;0;sweet;Koty i Psy;0;1;0;0;1;1;0;1;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
35-44;Mężczyzna;Licencjat;16 i więcej;logistyka, zakupy w dystrybucji IT;Kursy online, Warsztaty;Mniej niż 5 godzin;Rozwój kariery, Pasja do analizy danych, Wynagrodzenie;Koty;Słodkie;Góry;Sport;35-44;0.0;>=16;hobby_sport;0;0;0;0;1;0;sweet;Koty;0;1;0;0;0;0;0;1;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
65 i więcej;Mężczyzna;Magister;16 i więcej;R&D;;Więcej niż 20 godzin;Wyzwania intelektualne, Pasja do analizy danych;;Słodkie;Góry;"Sport, Książki, R&D + ... odpoczywam ;)";>=65;0.0;>=16;hobby_sport, hobby_books, hobby_other;0;1;0;1;1;0;sweet;Brak ulubionych;0;0;0;0;0;0;0;0;Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
45-54;Mężczyzna;Licencjat;16 i więcej;Finanse;Kursy online, Książki, Warsztaty;10-15 godzin;Pasja do analizy danych;papugi;Słone;wieś;Sztuka;45-54;0.0;>=16;hobby_art;1;0;0;0;0;0;salty;Inne;1;1;0;0;0;0;0;1;Rozwój kariery, Pasja i zainteresowania, Praca i elastyczność, Tworzenie i innowacje, Rozwój umiejętności, Wynagrodzenie;1;1;1;1;1;1
45-54;Mężczyzna;Magister;16 i więcej;Produkcja;Kursy online, Warsztaty, Praca zespołowa, Samodzielne projekty;5-10 godzin;Rozwój kariery, Wyzwania intelektualne, Wynagrodzenie;Psy;Słodkie;Morze;Sport, Książki, Gry komputerowe, Filmy / Seriale;45-54;0.0;>=16;hobby_sport, hobby_books, hobby_video_games, hobby_movies;0;1;1;0;1;1;sweet;Psy;0;1;0;0;1;1;0;1;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
35-44;Mężczyzna;inżynier;16 i więcej;przemysł - zarządzanie jakością;Kursy online, Samodzielne projekty;5-10 godzin;Rozwój kariery, Pasja do analizy danych, Wynagrodzenie;Psy;Słone;Morze;Sport;35-44;0.0;>=16;hobby_sport;0;0;0;0;1;0;salty;Psy;0;1;0;0;0;1;0;0;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
25-34;Kobieta;Magister;6-10 lat;Inżyniera ;Kursy online, Książki, Samodzielne projekty;5-10 godzin;Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne, Pasja do analizy danych, Wynagrodzenie;Psy;Słodkie;Morze;Filmy / Seriale;25-34;1.0;6-10;hobby_movies;0;0;1;0;0;0;sweet;Psy;1;1;0;0;0;1;0;0;Rozwój kariery, Rozwój kariery, Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
35-44;Kobieta;Magister;11-15 lat;Pracownik naukowy: Nawigacja samolotowa, systemy nawigacji satelitarnej, ;Kursy online, Książki, Warsztaty, Samodzielne projekty;10-15 godzin;Wyzwania intelektualne, Pasja do analizy danych;Misie koala;Słodkie;Morze;Ukladanie puzli, praca w ogrodzie przy kwiatach;35-44;1.0;11-15;hobby_other, hobby_other;0;0;0;1;0;0;sweet;Inne;1;1;0;0;0;1;0;1;Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
55-64;Mężczyzna;Magister;16 i więcej;Zdrowie;Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty;5-10 godzin;Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne, Pasja do analizy danych, własny projekt;Psy;Słone;Morze;Książki;55-64;0.0;>=16;hobby_books;0;1;0;0;0;0;salty;Psy;1;1;0;0;1;1;0;1;Rozwój kariery, Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
55-64;Mężczyzna;Magister;;Zdrowie;Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty;5-10 godzin;Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne, Pasja do analizy danych, własny projekt;Psy;Słone;Morze;Książki;55-64;0.0;;hobby_books;0;1;0;0;0;0;salty;Psy;1;1;0;0;1;1;0;1;Rozwój kariery, Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
