Timestamp,Wiek,Płeć,Poziom wykształcenia,Liczba lat doświadczenia zawodowego,Obecna branża,"Jak preferujesz się uczyć? (wybierz wszystkie, które pasują)",Ile czasu tygodniowo możesz poświęcić na naukę data science i AI?,Co najbardziej motywuje Cię do nauki data science i AI? (wybierz maks. 3),Jak zwierzęta są Twoimi ulubionymi?,Bardziej lubisz przysmaki słodkie czy słone?,Jakie jest Twoje ulubione miejsce na ziemi?,Jak spędzasz wolny czas?
7/14/2024 10:00:45,45-54,Mężczyzna,Magister,16 i więcej,Transport,"Kursy online, Warsztaty, Praca zespołowa, Samodzielne projekty",Mniej niż 5 godzin,"Wyzwania intelektualne, Wynagrodzenie",Psy,Słodkie,Las,Sport
7/14/2024 14:45:04,55-64,Mężczyzna,Magister,16 i więcej,Property Management,"Kursy online, Praca zespołowa, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Wyzwania intelektualne, Wynagrodzenie",Psy,Słone,Las,Sport
7/14/2024 19:11:08,35-44,Kobieta,Szkoła średnia / Technikum,6-10 lat,księgowość,"Kursy online, Książki, Warsztaty",5-10 godzin,"Rozwój kariery, Wynagrodzenie",Psy,Słodkie,Las,Książki
7/14/2024 21:56:17,35-44,Mężczyzna,Magister,16 i więcej,Bezpieczeństwo,"Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty",Mniej niż 5 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne",Psy,Słodkie,"Góry, Morze, Las","Sport, Gry komputerowe, Filmy / Seriale"
7/15/2024 11:13:36,35-44,Kobieta,Magister,6-10 lat,Produkcja ,"Kursy online, Książki, Warsztaty, Samodzielne projekty",Mniej niż 5 godzin,"Rozwój kariery, Wyzwania intelektualne, Wynagrodzenie",Psy,Słodkie,Morze,"Książki, Filmy / Seriale"
7/15/2024 20:39:02,35-44,Mężczyzna,Magister,6-10 lat,Mechanik,"Kursy online, Warsztaty, Praca zespołowa",Mniej niż 5 godzin,"Rozwój kariery, Wynagrodzenie",,Słodkie,Morze,"Gry komputerowe, Filmy / Seriale"
7/16/2024 13:57:30,35-44,Mężczyzna,Doktorat,16 i więcej,Edukacja,"Kursy online, Książki, Samodzielne projekty",Więcej niż 20 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne, Pasja do analizy danych, Wynagrodzenie",,,,
7/16/2024 18:20:41,45-54,Mężczyzna,Szkoła średnia / Technikum,16 i więcej,Logistyka i Transport,"Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty",Mniej niż 5 godzin,"Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne, Pasja do analizy danych",Nie mam ulubionych zwierząt lubię sowy,Słodkie,"miejsca, gdzie jest mało ludzi","Książki, Sztuka, Filmy / Seriale, podróżowanie"
7/16/2024 20:50:25,45-54,Mężczyzna,Szkoła średnia / Technikum,16 i więcej,handel,"Kursy online, Książki",Mniej niż 5 godzin,"Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne, Wynagrodzenie",,Słone,Góry,"Książki, Gry komputerowe, Filmy / Seriale"
7/16/2024 23:54:19,55-64,Mężczyzna,Magister,16 i więcej,Edukacja,"Kursy online, Warsztaty, Praca zespołowa, Samodzielne projekty",5-10 godzin,"Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne, Wynagrodzenie",Psy,Słodkie,Morze,Sport
7/18/2024 20:48:38,35-44,Mężczyzna,Szkoła średnia / Technikum,0-2 lata,Logistyka,"Kursy online, Książki, Warsztaty, Praca zespołowa",10-15 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wynagrodzenie",Psy,Słodkie,Góry,"Książki, Gry komputerowe, Podróże"
7/19/2024 17:42:38,35-44,Kobieta,Magister,11-15 lat,budownictwo/architektura,"Kursy online, Samodzielne projekty",5-10 godzin,Rozwiązywanie rzeczywistych problemów,Koty,Słodkie,Góry,"Sport, Filmy / Seriale"
7/21/2024 17:52:18,45-54,Kobieta,Magister,0-2 lata,Usługi,Książki,Mniej niż 5 godzin,"Rozwój kariery, Wynagrodzenie",Psy,Słodkie,Morze,Filmy / Seriale
7/22/2024 13:53:12,25-34,Mężczyzna,Szkoła średnia / Technikum,3-5 lat,Transport Międzynarodowy,"Kursy online, Książki",10-15 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Swoboda pracy",Koty,Słodkie,Las,"Sport, Gry komputerowe"
7/22/2024 14:46:30,45-54,Mężczyzna,magister inżynier,16 i więcej,IT,"Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne",Psy,Słodkie,Morze,Podróże
7/22/2024 17:08:30,45-54,Mężczyzna,Magister,16 i więcej,IT,"Kursy online, Warsztaty, Praca zespołowa",5-10 godzin,"Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne, Pasja do analizy danych",Psy,Słodkie,Morze,"Sport, Filmy / Seriale"
7/22/2024 21:09:56,35-44,Mężczyzna,Licencjat,11-15 lat,"Chłodnictwo, Marketing, SEO","Kursy online, Warsztaty, Praca zespołowa, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne, Pasja do analizy danych, Wynagrodzenie",Koty,Słone,Góry,"Gry komputerowe, Filmy / Seriale"
7/22/2024 21:23:59,45-54,Mężczyzna,Licencjat,16 i więcej,logistyka,Kursy online,5-10 godzin,Rozwój kariery,Psy,Słone,teren gdzie temperatura nie spada do 20 stopni,"Sztuka, Filmy / Seriale"
7/23/2024 18:36:40,45-54,Mężczyzna,inżynier,16 i więcej,usługi elektryczne,Kursy online,Mniej niż 5 godzin,Rozwój kariery,Psy,Słodkie,Las,"Sport, Gry komputerowe, Filmy / Seriale"
7/23/2024 22:48:36,25-34,Mężczyzna,W szkole doktorskiej,3-5 lat,Architektura/Urbansityka,"Warsztaty, Praca zespołowa, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne, Zagadnienia w doktoracie",Koty,,Miasto,"Książki, Gry komputerowe, Filmy / Seriale"
7/23/2024 23:11:06,45-54,Mężczyzna,Inżynier,16 i więcej,IT,"Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne, Wynagrodzenie",,Słone,Morze,Sztuka
7/23/2024 23:37:14,45-54,Mężczyzna,Licencjat,16 i więcej,Transport,"Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty",Więcej niż 20 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne",Lubię ogólnie zwierzęta,Słodkie,Las,"Książki, Motoryzacja "
7/23/2024 23:43:05,45-54,Mężczyzna,Magister,16 i więcej,Inżynieria,"Kursy online, Książki, Samodzielne projekty",Mniej niż 5 godzin,"Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne, Wynagrodzenie",Psy,Słodkie,Las,"Filmy / Seriale, Filmy dokumentalne z których można się czegoś dowiedzieć "
7/24/2024 10:52:58,25-34,Mężczyzna,Magister,6-10 lat,e-commerce,"Warsztaty, Praca zespołowa",Mniej niż 5 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wynagrodzenie",Psy,Słodkie,Góry,"Sport, Książki, Filmy / Seriale"
7/24/2024 12:06:41,45-54,Mężczyzna,Szkoła średnia / Technikum,16 i więcej,IT,"Kursy online, Książki, Warsztaty, stacjonarnie",5-10 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne, Pasja do analizy danych, Wynagrodzenie, tworzenie aplikacji AI",PSZCZOŁY - posiadam swoja pasiekę :-) Polecam pyszne miody !,Słodkie,Góry,"Sport, Książki, Nauka o AI, Webinary z programowania, Cyberbezpieczeństwo"
7/24/2024 12:46:09,18-24,Mężczyzna,Szkoła średnia / Technikum,0-2 lata,,"Kursy online, Książki, Warsztaty, Samodzielne projekty",15-20 godzin,"Rozwój kariery, Wyzwania intelektualne, pasja do AI, możliwośc tworzenia narzędzi AI",Psy,Słone,góry + zbiornik wodny (np. Jezioro Garda),"Sport, Gry komputerowe"
7/24/2024 15:17:41,35-44,Mężczyzna,Magister,6-10 lat,IT,"Kursy online, Książki, Warsztaty, Samodzielne projekty",10-15 godzin,"Rozwój kariery, Wyzwania intelektualne, Wynagrodzenie",Psy,Słodkie,Morze,"Książki, Gry komputerowe, Filmy / Seriale"
7/24/2024 15:24:08,45-54,Mężczyzna,Magister,16 i więcej,Budownictwo,"Kursy online, Samodzielne projekty",10-15 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Pasja do analizy danych",Psy,Słone,Las,"Sport, Książki"
7/24/2024 17:12:22,65 i więcej,Mężczyzna,Magister,16 i więcej,fotowoltaika,"Kursy online, Warsztaty, Praca zespołowa",5-10 godzin,"Wyzwania intelektualne, Wynagrodzenie, odnalezieniesię na rynku pracy  , praca zdalna",Psy,Słodkie,Morze,"Sport, Filmy / Seriale, IOT"
7/24/2024 18:27:35,35-44,Mężczyzna,Magister,16 i więcej,IT,"Kursy online, Książki, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Wyzwania intelektualne",Koty,Słodkie,Góry,"Sztuka, Filmy / Seriale"
7/24/2024 20:19:08,35-44,Mężczyzna,Licencjat,16 i więcej,Budownictwo,"Kursy online, Warsztaty, Praca zespołowa, Samodzielne projekty",5-10 godzin,"Rozwiązywanie rzeczywistych problemów, Pasja do analizy danych, Wynagrodzenie",Psy,Słone,Każde z powyższych,"Sport, Książki, Gry komputerowe, Filmy / Seriale"
7/24/2024 22:20:58,45-54,Kobieta,Magister,16 i więcej,Marketing,"Kursy online, Samodzielne projekty",10-15 godzin,"Rozwiązywanie rzeczywistych problemów, Pasja do analizy danych",Psy,Słodkie,,Filmy / Seriale
7/25/2024 16:38:39,45-54,Mężczyzna,Licencjat,16 i więcej,Edukacja,"Kursy online, Warsztaty, Praca zespołowa, Uczenie innych osób.",5-10 godzin,"Pasja do analizy danych, Wynagrodzenie, Fascynacja możliwościami jakie daje nam AI",Lemury,Słodkie,Wyspy / Ocean,"Sport, Tańce latynoamerykańskie, Kognitywistyka, Turystyka"
7/25/2024 19:29:47,35-44,Mężczyzna,Magister,16 i więcej,Logistyka,"Kursy online, Warsztaty",5-10 godzin,"Rozwój kariery, Wynagrodzenie",,Słodkie,Las,"Książki, Gry komputerowe"
7/25/2024 22:12:14,18-24,Mężczyzna,Szkoła zawodowa,3-5 lat,Mechanik Samochodowy,Kursy online,5-10 godzin,"Rozwój kariery, Wynagrodzenie",Psy,Słone,Góry,Gry komputerowe
7/25/2024 22:16:59,35-44,Mężczyzna,Inżynierskie + podyplomowe,11-15 lat,IT,"Kursy online, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne",Psy,Słone,Morze,"Sport, Książki, Filmy / Seriale"
7/26/2024 3:07:31,45-54,Mężczyzna,Magister,16 i więcej,energetyka,"Kursy online, Warsztaty, Samodzielne projekty",10-15 godzin,"Rozwój kariery, Wyzwania intelektualne, Wynagrodzenie",Koty,Słone,Las i jezioro,"Książki, Gry komputerowe, Sztuka, Filmy / Seriale, Pub"
7/26/2024 14:14:15,35-44,Mężczyzna,Magister,11-15 lat,Logistyka,Kursy online,5-10 godzin,"Rozwój kariery, Wynagrodzenie",Konie,Słodkie,Góry,Sport
7/26/2024 14:56:37,55-64,Mężczyzna,Magister,11-15 lat,IT,"Kursy online, Warsztaty, Praca zespołowa, Samodzielne projekty",Więcej niż 20 godzin,"Rozwój kariery, Wyzwania intelektualne, Wynagrodzenie",Psy,Słodkie,Morze,"Książki, Filmy / Seriale, Gitara"
7/26/2024 20:26:51,35-44,Mężczyzna,inżynier,6-10 lat,Gastronomia,"Kursy online, Książki",5-10 godzin,"Rozwiązywanie rzeczywistych problemów, Wynagrodzenie",Koty,Słone,Góry,"Sport, Gry komputerowe"
7/26/2024 23:05:06,35-44,Mężczyzna,Magister,11-15 lat,Pracuję przy projektach związanych z sieciami gazowymi,"Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty",Więcej niż 20 godzin,"Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne, Wynagrodzenie",Psy,Słodkie,Góry,"Sport, Nauka"
7/26/2024 23:33:18,45-54,Kobieta,Magister,11-15 lat,Edukacja,"Kursy online, Książki, Warsztaty",Mniej niż 5 godzin,"Rozwój kariery, Wynagrodzenie",Psy,Słodkie,Las,"Książki, Filmy / Seriale, Rozmowy z bliskimi"
7/27/2024 10:11:25,35-44,Kobieta,Magister,6-10 lat,Finanse,"Kursy online, Warsztaty, Praca zespołowa, Samodzielne projekty",Mniej niż 5 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wynagrodzenie",Psy,Słone,Morze,Filmy / Seriale
7/27/2024 15:12:46,18-24,Mężczyzna,Szkoła średnia / Technikum,0-2 lata,Spedycja,"Kursy online, Książki",Mniej niż 5 godzin,"Rozwój kariery, Pasja do analizy danych, Wynagrodzenie",Kury,Słodkie,Góry,"Gry komputerowe, Filmy / Seriale"
